
--- New Detection Session ---
[2026-01-18 19:31:46] Object: cow | Confidence: 89.33%
[2026-01-18 19:31:46] Object: dog | Confidence: 83.06%
[2026-01-18 19:31:46] Object: car | Confidence: 79.19%
[2026-01-18 19:31:46] Object: cow | Confidence: 74.03%
[2026-01-18 19:31:46] Object: dog | Confidence: 72.16%
[2026-01-18 19:31:46] Object: person | Confidence: 67.58%
[2026-01-18 19:31:46] Object: car | Confidence: 64.14%
[2026-01-18 19:31:46] Object: car | Confidence: 51.62%
Total Objects Detected: 8
Animals Detected: 4
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 91.38%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 91.45%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 91.45%
[2026-01-18 19:38:31] Webcam | Object: person | Confidence: 92.55%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 90.79%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.86%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.71%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.21%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.91%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 90.53%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.03%
[2026-01-18 19:38:32] Webcam | Object: person | Confidence: 91.64%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 91.46%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 91.44%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 91.68%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 91.68%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 90.33%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 90.31%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 87.93%
[2026-01-18 19:38:33] Webcam | Object: person | Confidence: 89.52%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.51%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.12%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.90%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 91.06%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.25%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.22%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 87.03%
[2026-01-18 19:38:34] Webcam | Object: person | Confidence: 90.28%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 87.66%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 90.44%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 90.44%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 89.47%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 90.59%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 90.27%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 91.90%
[2026-01-18 19:38:35] Webcam | Object: person | Confidence: 89.46%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.08%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 90.87%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.74%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.69%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 92.11%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.28%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.28%
[2026-01-18 19:38:36] Webcam | Object: person | Confidence: 91.46%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 90.81%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 90.44%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 88.97%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 91.41%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 90.73%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 91.90%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 91.12%
[2026-01-18 19:38:37] Webcam | Object: person | Confidence: 90.83%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 91.16%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 89.17%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 90.00%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 87.83%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 89.89%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 88.95%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 89.98%
[2026-01-18 19:38:38] Webcam | Object: person | Confidence: 90.55%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 90.55%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 88.56%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 90.22%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 87.52%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 86.12%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 91.10%
[2026-01-18 19:38:39] Webcam | Object: person | Confidence: 86.35%
[2026-01-18 19:38:40] Webcam | Object: person | Confidence: 87.38%
[2026-01-18 19:38:40] Webcam | Object: person | Confidence: 83.60%
[2026-01-18 19:38:40] Webcam | Object: person | Confidence: 89.08%
[2026-01-18 19:38:40] Webcam | Object: person | Confidence: 82.37%
[2026-01-18 19:38:40] Webcam | Object: person | Confidence: 86.77%
[2026-01-18 19:38:41] Webcam | Object: person | Confidence: 86.64%
[2026-01-18 19:38:41] Webcam | Object: person | Confidence: 82.81%
[2026-01-18 19:38:41] Webcam | Object: person | Confidence: 87.41%
[2026-01-18 19:38:41] Webcam | Object: person | Confidence: 82.97%
[2026-01-18 19:38:41] Webcam | Object: person | Confidence: 89.03%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 87.25%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 78.60%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 83.34%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 88.68%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 87.24%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 87.39%
[2026-01-18 19:38:42] Webcam | Object: person | Confidence: 82.68%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 86.79%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 90.89%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 91.40%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 92.71%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 91.74%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 91.28%
[2026-01-18 19:38:43] Webcam | Object: person | Confidence: 90.72%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 91.66%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 91.26%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 86.72%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 89.19%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 81.48%
[2026-01-18 19:38:44] Webcam | Object: person | Confidence: 87.55%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 80.46%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 84.58%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 85.62%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 88.10%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 89.37%
[2026-01-18 19:38:45] Webcam | Object: person | Confidence: 86.18%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 89.06%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 87.69%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 87.64%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 85.34%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 85.72%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 85.44%
[2026-01-18 19:38:46] Webcam | Object: person | Confidence: 85.28%
